threshold,accuracy,f1_macro,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,support_real,support_fake
0.0,0.5050505050505051,0.33557046979865773,0.0,0.0,0.0,0.5050505050505051,1.0,0.6711409395973155,980,1000
0.01,0.5050505050505051,0.33557046979865773,0.0,0.0,0.0,0.5050505050505051,1.0,0.6711409395973155,980,1000
0.02,0.5050505050505051,0.33557046979865773,0.0,0.0,0.0,0.5050505050505051,1.0,0.6711409395973155,980,1000
0.03,0.5050505050505051,0.33557046979865773,0.0,0.0,0.0,0.5050505050505051,1.0,0.6711409395973155,980,1000
0.04,0.5050505050505051,0.33557046979865773,0.0,0.0,0.0,0.5050505050505051,1.0,0.6711409395973155,980,1000
0.05,0.5050505050505051,0.33557046979865773,0.0,0.0,0.0,0.5050505050505051,1.0,0.6711409395973155,980,1000
0.06,0.5050505050505051,0.33557046979865773,0.0,0.0,0.0,0.5050505050505051,1.0,0.6711409395973155,980,1000
0.07,0.5050505050505051,0.33557046979865773,0.0,0.0,0.0,0.5050505050505051,1.0,0.6711409395973155,980,1000
0.08,0.5060606060606061,0.3378324960094323,1.0,0.0020408163265306124,0.004073319755600814,0.5055611729019212,1.0,0.6715916722632639,980,1000
0.09,0.5065656565656566,0.3389605148457605,1.0,0.003061224489795918,0.006103763987792472,0.5058168942842691,1.0,0.6718172657037286,980,1000
0.1,0.509090909090909,0.34457092103900916,1.0,0.00816326530612245,0.016194331983805668,0.5070993914807302,1.0,0.6729475100942126,980,1000
0.11,0.5116161616161616,0.3501324234250471,1.0,0.013265306122448979,0.026183282980866064,0.5083884087442806,1.0,0.6740815638692281,980,1000
0.12,0.5176767676767676,0.3632850973558603,1.0,0.025510204081632654,0.04975124378109453,0.5115089514066496,1.0,0.676818950930626,980,1000
0.13,0.5237373737373737,0.37617084487263913,1.0,0.03775510204081633,0.0727630285152409,0.514668039114771,1.0,0.6795786612300374,980,1000
0.14,0.5328282828282829,0.3950204384986994,1.0,0.05612244897959184,0.10628019323671498,0.5194805194805194,1.0,0.6837606837606838,980,1000
0.15,0.5464646464646464,0.4222783684832322,1.0,0.0836734693877551,0.1544256120527307,0.5268703898840885,1.0,0.6901311249137336,980,1000
0.16,0.5651515151515152,0.45780839179209976,1.0,0.12142857142857143,0.21656050955414013,0.537345513164965,1.0,0.6990562740300594,980,1000
0.17,0.5823232323232324,0.4887715888055883,1.0,0.15612244897959185,0.27007943512797883,0.5473453749315819,1.0,0.7074637424831978,980,1000
0.18,0.6035353535353535,0.5250238740975591,1.0,0.1989795918367347,0.33191489361702126,0.5602240896358543,1.0,0.718132854578097,980,1000
0.19,0.6353535353535353,0.57577757493243,1.0,0.26326530612244897,0.4168012924071082,0.5807200929152149,1.0,0.7347538574577517,980,1000
0.2,0.6565656565656566,0.6075093283582089,1.0,0.30612244897959184,0.46875,0.5952380952380952,1.0,0.746268656716418,980,1000
0.21,0.6813131313131313,0.6426870796451065,1.0,0.35612244897959183,0.5252069224981188,0.6131207847946045,1.0,0.7601672367920943,980,1000
0.22,0.7045454545454546,0.674119922630561,1.0,0.4030612244897959,0.5745454545454546,0.6309148264984227,1.0,0.7736943907156673,980,1000
0.23,0.7338383838383838,0.7118461854124789,1.0,0.46224489795918366,0.6322400558269365,0.6548788474132285,1.0,0.7914523149980214,980,1000
0.24,0.7606060606060606,0.7447151587818834,1.0,0.5163265306122449,0.6810228802153432,0.6784260515603799,1.0,0.8084074373484236,980,1000
0.25,0.7868686868686868,0.775690758424885,1.0,0.5693877551020409,0.7256176853055917,0.7032348804500703,1.0,0.8257638315441783,980,1000
0.26,0.8111111111111111,0.8033233080949462,1.0,0.6183673469387755,0.7641866330390921,0.727802037845706,1.0,0.8424599831508003,980,1000
0.27,0.8353535353535354,0.8301674119711084,1.0,0.6673469387755102,0.8004895960832313,0.7541478129713424,1.0,0.8598452278589854,980,1000
0.28,0.8595959595959596,0.8563418481489176,1.0,0.7163265306122449,0.8347205707491082,0.7824726134585289,1.0,0.8779631255487269,980,1000
0.29,0.8833333333333333,0.8814278740674739,1.0,0.7642857142857142,0.8663967611336032,0.8123476848090982,1.0,0.8964589870013447,980,1000
0.3,0.9035353535353535,0.9024272945569249,1.0,0.8051020408163265,0.8920293951384963,0.8396305625524769,1.0,0.9128251939753537,980,1000
0.31,0.9212121212121213,0.9205846418389972,1.0,0.8408163265306122,0.9135254988913526,0.8650519031141869,1.0,0.9276437847866419,980,1000
0.32,0.9277777777777778,0.9272849797538723,1.0,0.8540816326530613,0.9212988442487617,0.8748906386701663,1.0,0.9332711152589828,980,1000
0.33,0.9409090909090909,0.9406248310001638,1.0,0.8806122448979592,0.9365165491047206,0.8952551477170994,1.0,0.944733112895607,980,1000
0.34,0.9505050505050505,0.9503286337865636,1.0,0.9,0.9473684210526315,0.9107468123861566,1.0,0.9532888465204957,980,1000
0.35000000000000003,0.9626262626262626,0.9625418374849548,1.0,0.9244897959183673,0.9607635206786851,0.931098696461825,1.0,0.9643201542912246,980,1000
0.36,0.9742424242424242,0.97420926152621,1.0,0.9479591836734694,0.9732844421162913,0.9514747859181731,1.0,0.9751340809361287,980,1000
0.37,0.9797979797979798,0.9797794117647058,1.0,0.9591836734693877,0.9791666666666666,0.9615384615384616,1.0,0.9803921568627451,980,1000
0.38,0.9828282828282828,0.9828155009694998,1.0,0.9653061224489796,0.9823468328141225,0.9671179883945842,1.0,0.983284169124877,980,1000
0.39,0.9863636363636363,0.9863559484466173,1.0,0.9724489795918367,0.9860320744956027,0.9737098344693281,1.0,0.986679822397632,980,1000
0.4,0.9883838383838384,0.9883783572039766,1.0,0.976530612244898,0.9881259679917398,0.9775171065493646,1.0,0.9886307464162135,980,1000
0.41000000000000003,0.98989898989899,0.989895268025464,0.998960498960499,0.9806122448979592,0.9897013388259527,0.981335952848723,0.999,0.9900891972249752,980,1000
0.42,0.990909090909091,0.9909060846560847,0.9989626556016598,0.9826530612244898,0.9907407407407407,0.9832677165354331,0.999,0.9910714285714286,980,1000
0.43,0.9924242424242424,0.9924223849382527,0.9979360165118679,0.986734693877551,0.9923037455105183,0.9871414441147379,0.998,0.9925410243659871,980,1000
0.44,0.9939393939393939,0.9939381816994317,0.9979423868312757,0.9897959183673469,0.9938524590163934,0.9900793650793651,0.998,0.9940239043824701,980,1000
0.45,0.9949494949494949,0.994948623933726,0.997946611909651,0.9918367346938776,0.9948822927328557,0.9920477137176938,0.998,0.9950149551345963,980,1000
0.46,0.996969696969697,0.9969693228120194,0.9979550102249489,0.9959183673469387,0.9969356486210419,0.9960079840319361,0.998,0.997002997002997,980,1000
0.47000000000000003,0.997979797979798,0.9979795918367347,0.9979591836734694,0.9979591836734694,0.9979591836734694,0.998,0.998,0.998,980,1000
0.48,0.997979797979798,0.9979795918367347,0.9979591836734694,0.9979591836734694,0.9979591836734694,0.998,0.998,0.998,980,1000
0.49,0.9974747474747475,0.9974745149219179,0.9969418960244648,0.9979591836734694,0.9974502804691484,0.997997997997998,0.997,0.9974987493746873,980,1000
0.5,0.996969696969697,0.9969694465107308,0.9959266802443992,0.9979591836734694,0.9969418960244648,0.9979959919839679,0.996,0.996996996996997,980,1000
0.51,0.996969696969697,0.9969694990796256,0.9949186991869918,0.9989795918367347,0.9969450101832994,0.998995983935743,0.995,0.996993987975952,980,1000
0.52,0.996969696969697,0.9969694990796256,0.9949186991869918,0.9989795918367347,0.9969450101832994,0.998995983935743,0.995,0.996993987975952,980,1000
0.53,0.9959595959595959,0.9959593939499067,0.9929006085192698,0.9989795918367347,0.9959308240081384,0.9989939637826962,0.993,0.995987963891675,980,1000
0.54,0.9954545454545455,0.9954543495013431,0.9918946301925026,0.9989795918367347,0.9954245043213015,0.998992950654582,0.992,0.9954841946813848,980,1000
0.55,0.9944444444444445,0.9944443296578671,0.9889001009081736,1.0,0.9944190766108574,1.0,0.989,0.9944695827048768,980,1000
0.56,0.9929292929292929,0.9929292280002571,0.9859154929577465,1.0,0.9929078014184397,1.0,0.986,0.9929506545820745,980,1000
0.5700000000000001,0.9914141414141414,0.991414121703677,0.9829488465396189,1.0,0.9914011127971675,1.0,0.983,0.9914271306101866,980,1000
0.58,0.9893939393939394,0.9893939366885871,0.9790209790209791,1.0,0.9893992932862191,1.0,0.979,0.989388580090955,980,1000
0.59,0.9883838383838384,0.9883838117167395,0.9770687936191426,1.0,0.9884014120020171,1.0,0.977,0.9883662114314619,980,1000
0.6,0.9848484848484849,0.9848480983598193,0.9702970297029703,1.0,0.9849246231155779,1.0,0.97,0.9847715736040609,980,1000
0.61,0.9828282828282828,0.9828274242871035,0.9664694280078896,1.0,0.9829488465396189,1.0,0.966,0.982706002034588,980,1000
0.62,0.9777777777777777,0.9777745123250432,0.95703125,1.0,0.9780439121756487,1.0,0.956,0.9775051124744376,980,1000
0.63,0.9727272727272728,0.9727192285042727,0.9477756286266924,1.0,0.9731876861966237,1.0,0.946,0.9722507708119219,980,1000
0.64,0.9686868686868687,0.9686727728730099,0.9404990403071017,1.0,0.9693372898120672,1.0,0.938,0.9680082559339526,980,1000
0.65,0.9606060606060606,0.9605722285932526,0.9262759924385633,1.0,0.9617271835132483,1.0,0.922,0.959417273673257,980,1000
0.66,0.954040404040404,0.9539812313506884,0.9150326797385621,1.0,0.9556313993174061,1.0,0.909,0.9523310633839707,980,1000
0.67,0.9434343434343434,0.9433119560238205,0.8974358974358975,1.0,0.9459459459459459,1.0,0.888,0.940677966101695,980,1000
0.68,0.9303030303030303,0.9300546067606712,0.8765652951699463,1.0,0.9342230695900858,1.0,0.862,0.9258861439312567,980,1000
0.6900000000000001,0.9171717171717172,0.9167312876186255,0.8566433566433567,1.0,0.9227871939736346,1.0,0.836,0.9106753812636166,980,1000
0.7000000000000001,0.9025252525252525,0.9017753891495399,0.835464620630861,1.0,0.9103576405016256,1.0,0.807,0.8931931377974544,980,1000
0.71,0.8914141414141414,0.8903506230078237,0.8200836820083682,1.0,0.9011494252873563,1.0,0.785,0.8795518207282913,980,1000
0.72,0.8752525252525253,0.8735910295277356,0.7986960065199674,1.0,0.8880833710919801,1.0,0.753,0.8590986879634912,980,1000
0.73,0.8651515151515151,0.863019839140424,0.7858861267040899,1.0,0.880107768298159,1.0,0.733,0.845931909982689,980,1000
0.74,0.8378787878787879,0.834043509855217,0.7532667179093006,1.0,0.8592722490135906,1.0,0.679,0.8088147706968434,980,1000
0.75,0.8207070707070707,0.8154233983469772,0.7340823970037453,1.0,0.8466522678185745,1.0,0.645,0.78419452887538,980,1000
0.76,0.797979797979798,0.7902542372881356,0.7101449275362319,1.0,0.8305084745762712,1.0,0.6,0.75,980,1000
0.77,0.7727272727272727,0.761477713826797,0.6853146853146853,1.0,0.8132780082987552,1.0,0.55,0.7096774193548387,980,1000
0.78,0.75,0.7347335088063549,0.6644067796610169,1.0,0.7983706720977597,1.0,0.505,0.6710963455149501,980,1000
0.79,0.7247474747474747,0.7039323415025619,0.6426229508196721,1.0,0.782435129740519,1.0,0.455,0.6254295532646048,980,1000
0.8,0.6944444444444444,0.6652203986669182,0.6182965299684543,1.0,0.7641325536062378,1.0,0.395,0.5663082437275986,980,1000
0.81,0.6656565656565656,0.6263763327210599,0.5968331303288672,1.0,0.7475209763539283,1.0,0.338,0.5052316890881914,980,1000
0.8200000000000001,0.6353535353535353,0.5829263425444539,0.5757931844888367,1.0,0.7307979120059657,1.0,0.278,0.4350547730829421,980,1000
0.8300000000000001,0.6075757575757575,0.5403947778407463,0.5577689243027888,1.0,0.7161125319693095,1.0,0.223,0.36467702371218313,980,1000
0.84,0.5853535353535354,0.5042148054821293,0.5441421432537479,1.0,0.7047824523552679,1.0,0.179,0.30364715860899066,980,1000
0.85,0.5651515151515152,0.4694314153942011,0.532319391634981,1.0,0.6947890818858561,1.0,0.139,0.2440737489025461,980,1000
0.86,0.547979797979798,0.43828006751670084,0.5226666666666666,1.0,0.6865148861646234,1.0,0.105,0.19004524886877827,980,1000
0.87,0.5348484848484848,0.41337560746818747,0.5155181483429774,1.0,0.6803193335647345,1.0,0.079,0.1464318813716404,980,1000
0.88,0.5227272727272727,0.38948209901216235,0.509090909090909,1.0,0.6746987951807228,1.0,0.055,0.10426540284360189,980,1000
0.89,0.5141414141414141,0.371995584622141,0.5046343975283213,1.0,0.6707734428473648,1.0,0.038,0.07321772639691715,980,1000
0.9,0.5050505050505051,0.3529411764705882,0.5,1.0,0.6666666666666666,1.0,0.02,0.0392156862745098,980,1000
0.91,0.5015151515151515,0.34537473650149014,0.498220640569395,1.0,0.665083135391924,1.0,0.013,0.02566633761105627,980,1000
0.92,0.498989898989899,0.3399148277197057,0.4969574036511156,1.0,0.6639566395663956,1.0,0.008,0.015873015873015872,980,1000
0.93,0.49595959595959593,0.33330094375144237,0.4954499494438827,1.0,0.6626098715348209,1.0,0.002,0.003992015968063872,980,1000
0.9400000000000001,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
0.9500000000000001,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
0.96,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
0.97,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
0.98,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
0.99,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
1.0,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
